ts,cpu_percent_lag_0,cpu_percent_lag_1,cpu_percent_lag_3,cpu_percent_lag_5,cpu_percent_lag_10,cpu_percent_lag_20,cpu_percent_roll_mean,cpu_percent_roll_std,cpu_percent_roll_max,cpu_percent_roll_min,cpu_percent_delta,cpu_percent_ewma_fast,cpu_percent_ewma_slow,cpu_percent_trend,cpu_percent_headroom,cpu_percent_level_x_vol,cpu_percent_slope_x_vol,cpu_percent_steps_to_saturation,cpu_percent_zscore_local,mem_percent_now,disk_percent_now,hour,minute,second_of_minute,dayofweek,__target__
2026-07-17 15:26:07,62.3,62.6,40.7,46.1,26.9,4.5,46.410000000000004,13.244407624855496,62.6,26.5,-0.30000000000000426,59.86503502307695,47.699542209239006,12.165492813837943,37.7,825.1265950284974,-3.973322287456705,754.0,1.1997516574602831,70.0,85.8,15.0,26.0,7.0,4.0,62.3
2026-07-17 15:26:10,62.3,62.3,61.9,45.4,26.6,4.1,49.98,12.070791191964068,62.6,26.5,0.0,61.08251751153847,50.354170898468276,10.728346613070194,37.7,752.0102912593613,0.0,754.0,1.0206456067438097,70.0,85.8,15.0,26.0,10.0,4.0,61.8
2026-07-17 15:26:13,61.8,62.3,62.6,40.7,26.5,4.6,53.50999999999999,9.280379542046866,62.6,40.7,-0.5,61.44125875576923,52.4352307351104,9.006028020658832,38.2,573.5274556984963,-4.640189771023433,764.0,0.8932824312238825,70.0,85.8,15.0,26.0,13.0,4.0,76.4
2026-07-17 15:26:16,76.4,61.8,62.3,61.9,45.2,11.4,56.629999999999995,11.218442157645697,76.4,40.7,14.600000000000009,68.92062937788462,56.79246151054487,12.128167867339755,23.599999999999994,857.0889808441314,163.78925550162728,1.6164383561643823,1.7622767691079262,70.1,85.8,15.0,26.0,16.0,4.0,77.9
2026-07-17 15:26:19,77.9,76.4,62.3,62.6,46.8,13.8,59.74000000000001,12.435361764830978,77.9,40.7,1.5,73.41031468894232,60.63019578135489,12.780118907587429,22.099999999999994,968.7146814803332,18.653042647246465,14.733333333333329,1.4603515638249571,70.1,85.8,15.0,26.0,19.0,4.0,74.8
2026-07-17 15:26:22,74.8,77.9,61.8,62.3,46.1,12.7,62.61,12.248033855820758,77.9,40.7,-3.1000000000000085,74.10515734447117,63.20652382110855,10.89863352336262,25.200000000000003,916.1529324153927,-37.96890495304445,504.00000000000006,0.9952617818905538,70.1,85.8,15.0,26.0,22.0,4.0,77.0
2026-07-17 15:26:25,77.0,74.8,76.4,62.3,45.4,12.1,65.77000000000001,11.358604178722281,77.9,40.7,2.200000000000003,75.55257867223558,65.714428580907,9.838150091328586,23.0,874.6125217616157,24.98892919318905,10.45454545454544,0.9886778184450514,70.1,85.8,15.0,26.0,25.0,4.0,76.5
2026-07-17 15:26:28,76.5,77.0,77.9,61.8,40.7,13.2,69.35,7.5984282000364916,77.9,61.8,-0.5,76.0262893361178,67.67544156619662,8.350847769921174,23.5,581.2797573027916,-3.7992141000182458,470.0,0.9409840840459173,70.1,85.8,15.0,26.0,28.0,4.0,91.0
2026-07-17 15:26:31,91.0,76.5,74.8,76.4,61.9,27.2,72.26,9.707751770850107,91.0,61.8,14.5,83.5131446680589,71.9162703723427,11.596874295716205,9.0,883.4054111473598,140.76240067732655,0.6206896551724138,1.9304160677317086,70.2,85.8,15.0,26.0,31.0,4.0,89.4
2026-07-17 15:26:34,89.4,91.0,77.0,77.9,62.6,27.9,74.94,10.417954587047161,91.0,61.8,-1.5999999999999943,86.45657233402946,75.09513030464402,11.361442029385444,10.599999999999994,931.3651400820163,-16.6687273392754,211.9999999999999,1.3879883886207758,70.2,85.8,15.0,26.0,34.0,4.0,90.2
2026-07-17 15:26:37,90.2,89.4,76.5,74.8,62.3,26.9,77.73,10.39263093628256,91.0,61.8,0.7999999999999972,88.32828616701474,77.84147024925419,10.486815917760552,9.799999999999997,937.4153104526869,8.314104749026018,12.25000000000004,1.1998886592292013,70.2,85.8,15.0,26.0,37.0,4.0,90.1
2026-07-17 15:26:40,90.1,90.2,91.0,77.0,62.3,26.6,80.50999999999999,9.485128711128093,91.0,61.8,-0.10000000000000853,89.21414308350737,80.07029384029887,9.143849243208493,9.900000000000006,854.6100968726411,-0.9485128711128902,198.0000000000001,1.0110563907001993,70.2,85.8,15.0,26.0,40.0,4.0,90.3
2026-07-17 15:26:43,90.3,90.1,89.4,76.5,61.8,26.5,83.36,7.2592010579677515,91.0,74.8,0.20000000000000284,89.75707154175367,81.93024041478999,7.8268311269636826,9.700000000000003,655.505855534488,1.451840211593571,48.499999999999325,0.9560280731420993,70.2,85.8,15.0,26.0,43.0,4.0,95.15
2026-07-17 15:26:46,95.15,90.3,90.2,91.0,76.4,45.2,85.235,7.671522013264408,95.15,74.8,4.8500000000000085,92.45353577087684,84.33383306664635,8.119702704230491,4.849999999999994,729.9453195621085,37.206881764332444,0.9999999999999971,1.2924423579644984,70.25,85.8,15.0,26.0,46.0,4.0,100.0
2026-07-17 15:26:49,100.0,95.15,90.1,89.4,77.9,46.8,87.44500000000001,8.465828370573115,100.0,74.8,4.849999999999994,96.22676788543842,87.18222705452884,9.044540830909582,0.0,846.5828370573115,41.059267597279565,0.0,1.4830208516440844,70.3,85.8,15.0,26.0,49.0,4.0,100.0
2026-07-17 15:26:52,100.0,100.0,90.3,90.2,74.8,46.1,89.965,8.022608677980056,100.0,76.5,0.0,98.11338394271921,89.51273122643269,8.600652716286518,0.0,802.2608677980056,0.0,0.0,1.2508400200976304,70.3,85.8,15.0,26.0,52.0,4.0,100.0
2026-07-17 15:26:55,100.0,100.0,95.15,90.1,77.0,45.4,92.265,7.141196989612144,100.0,76.5,0.0,99.05669197135961,91.4195073670813,7.637184604278318,0.0,714.1196989612145,0.0,0.0,1.0831517477044288,70.3,85.8,15.0,26.0,55.0,4.0,100.0
2026-07-17 15:26:58,100.0,100.0,100.0,90.3,76.5,40.7,94.615,4.888083582664317,100.0,89.4,0.0,99.5283459856798,92.97959693670288,6.54874904897693,0.0,488.8083582664317,0.0,0.0,1.1016587398582978,70.5,85.8,15.0,26.0,58.0,4.0,91.7
2026-07-17 15:27:01,91.7,100.0,100.0,95.15,91.0,61.9,94.685,4.835289833896112,100.0,89.4,-8.299999999999997,95.61417299283991,92.74694294821144,2.867230044628471,8.299999999999997,443.39607776827347,-40.13290562133771,165.99999999999994,-0.6173363133425216,71.5,85.8,15.0,27.0,1.0,4.0,95.0
2026-07-17 15:27:04,95.0,91.7,100.0,100.0,89.4,62.6,95.245,4.465326291424878,100.0,90.1,3.299999999999997,95.30708649641996,93.15658968490027,2.1504968115196874,5.0,424.2059976853634,14.735576761702085,1.5151515151515165,-0.054867211041329175,71.7,85.8,15.0,27.0,4.0,4.0,97.4
2026-07-17 15:27:07,97.4,95.0,100.0,100.0,90.2,62.3,95.965,4.129302470017222,100.0,90.1,2.4000000000000057,96.35354324820997,93.92811883310023,2.4254244151097453,2.5999999999999943,402.1940605796774,9.910325928041356,1.0833333333333284,0.34751632035180446,72.3,85.8,15.0,27.0,7.0,4.0,60.35
2026-07-17 15:27:10,60.35,97.4,91.7,100.0,90.1,62.3,92.99,12.013806871910196,100.0,60.35,-37.050000000000004,78.35177162410498,87.82300631799109,-9.471234693886103,39.65,725.0332447197803,-445.1115446042728,792.9999999999999,-2.716874039012268,73.19999999999999,85.8,15.0,27.0,10.0,4.0,23.3
2026-07-17 15:27:13,23.3,60.35,95.0,100.0,90.3,61.8,86.28999999999999,25.165108119510773,100.0,23.3,-37.05,50.82588581205249,76.09155062381089,-25.2656648117584,76.7,586.347019184601,-932.367255827874,1534.0,-2.503068919905144,74.1,85.8,15.0,27.0,13.0,4.0,69.7
2026-07-17 15:27:16,69.7,23.3,97.4,91.7,95.15,76.4,83.745,25.4547577958315,100.0,23.3,46.400000000000006,60.26294290602625,74.92945051039072,-14.666507604364476,30.299999999999997,1774.1966183694558,1181.1007617265818,0.6530172413793102,-0.5517632543453242,74.6,85.8,15.0,27.0,16.0,4.0,81.5
2026-07-17 15:27:19,81.5,69.7,60.35,95.0,100.0,77.9,81.89500000000001,24.806119876621842,100.0,23.3,11.799999999999997,70.88147145301312,76.12409587213786,-5.242624419124738,18.5,2021.6987699446802,292.7122145441377,1.567796610169492,-0.015923489927671924,72.4,85.8,15.0,27.0,19.0,4.0,72.4
